,2015_Illapel_earthquake,2016_Taiwan_earthquake,2016_Sumatra_earthquake,2016_Afghanistan_earthquake,2016_Kumamoto_earthquakes,2016_Ecuador_earthquake,August_2016_Myanmar_earthquake,2016_Kaikoura_earthquake,2016_Aceh_earthquake,January_2017_Central_Italy_earthquakes,2017_Surigao_earthquake,2017_Leyte_earthquake,2017_Aegean_Sea_earthquake,2017_Jiuzhaigou_earthquake,2017_Ischia_earthquake,2017_Chiapas_earthquake,2017_Central_Mexico_earthquake,2017_Iran%E2%80%93Iraq_earthquake,2018_Swan_Islands_earthquake,2018_Hualien_earthquake,2018_Oaxaca_earthquake,2018_Papua_New_Guinea_earthquake,2018_Osaka_earthquake,2018_Hokkaido_Eastern_Iburi_earthquake,2018_Sulawesi_earthquake_and_tsunami,2018_Haiti_earthquake,2018_Anchorage_earthquake,2019_Luzon_earthquake,2019_Peru_earthquake,2019_Albania_earthquake,2019_Davao_del_Sur_earthquake,2020_Elaz%C4%B1%C4%9F_earthquake,2020_Caribbean_earthquake,2020_Oaxaca_earthquake
227,71.0,95,38,25,483,396.0,8,247.0,51.0,90,156.0,32.0,19.0,28,13,105,453.0,45.0,8,41.0,97.0,430,110.0,67.0,341.0,44,103,276,190,65,27,52,49.0,16
228,90.0,97,49,22,459,412.0,18,186.0,35.0,114,88.0,35.0,16.0,16,14,144,291.0,62.0,5,32.0,102.0,609,129.0,60.0,349.0,34,83,152,147,57,19,50,49.0,18
229,171.0,134,63,15,382,325.0,6,165.0,46.0,113,68.0,30.0,17.0,23,16,91,274.0,65.0,18,40.0,76.0,371,100.0,99.0,419.0,23,105,154,143,68,16,79,63.0,16
230,190.0,103,68,24,334,322.0,7,141.0,39.0,148,110.0,40.0,20.0,28,15,125,455.0,57.0,15,33.0,54.0,273,131.0,96.0,425.0,21,84,201,124,47,14,85,87.0,23
231,155.0,85,75,18,267,177.0,20,169.0,42.0,161,68.0,48.0,9.0,27,18,76,580.0,57.0,10,32.0,46.0,273,97.0,81.0,298.0,18,102,248,109,69,17,46,70.0,28
232,162.0,74,71,37,219,225.0,12,211.0,43.0,207,69.0,23.0,18.0,31,21,52,511.0,64.0,11,41.0,37.0,331,119.0,82.0,226.0,17,88,198,133,73,14,34,64.0,29
233,186.0,69,59,25,281,364.0,13,206.0,18.0,390,61.0,20.0,14.0,22,13,62,444.0,60.0,8,31.0,53.0,247,156.0,80.0,267.0,19,93,187,188,74,16,56,68.0,29
234,68.0,92,15,32,316,439.0,7,214.0,29.0,225,58.0,31.0,16.0,16,12,105,418.0,57.0,10,47.0,65.0,126,217.0,80.0,389.0,31,89,300,173,56,30,29,39.0,17
235,96.0,103,33,32,341,468.0,10,285.0,12.0,222,58.0,37.0,27.0,27,10,107,201.0,50.0,6,62.0,68.0,117,139.0,104.0,355.0,30,75,102,147,70,30,49,48.0,31
236,167.0,106,58,26,377,493.0,12,154.0,25.0,182,70.0,37.0,13.0,24,10,108,289.0,40.0,4,59.0,53.0,72,120.0,115.0,400.0,15,80,90,88,68,16,55,66.0,34
237,202.0,98,52,19,378,357.0,17,123.0,38.0,169,43.0,48.0,18.0,26,17,83,476.0,45.0,9,89.0,64.0,60,70.0,68.0,345.0,17,86,351,61,93,9,42,63.0,20
238,158.0,81,53,23,239,202.0,14,173.0,18.0,119,43.0,28.0,19.0,23,14,71,442.0,55.0,20,69.0,43.0,74,126.0,85.0,338.0,24,73,307,129,104,23,42,74.0,16
239,189.0,86,72,16,223,292.0,10,221.0,34.0,124,49.0,16.0,4.0,17,10,93,667.0,44.0,25,78.0,39.0,93,123.0,91.0,221.0,27,64,166,146,116,50,51,59.0,27
240,145.0,108,39,25,249,373.0,11,321.0,23.0,106,70.0,32.0,12.0,19,17,93,466.0,45.0,26,56.0,46.0,101,157.0,69.0,301.0,22,76,123,134,100,48,47,57.0,15
241,89.0,104,37,45,289,328.0,11,268.0,12.0,96,71.0,48.0,17.0,18,10,100,401.0,52.0,22,57.0,65.0,87,135.0,71.0,328.0,28,89,152,159,104,30,66,45.0,13
242,134.0,110,65,98,264,338.0,10,192.0,14.0,120,51.0,44.0,17.0,11,8,135,214.0,51.0,18,27.0,67.0,78,121.0,68.0,318.0,25,72,104,138,74,17,39,48.0,12
243,165.0,100,56,68,323,298.0,7,188.0,31.0,100,72.0,36.0,8.0,14,7,111,293.0,41.0,20,59.0,54.0,62,111.0,79.0,307.0,18,86,60,127,137,19,48,48.0,23
244,166.0,396,70,26,329,223.0,13,129.0,23.0,205,73.0,37.0,7.0,37,19,99,685.0,38.0,23,50.0,54.0,49,86.0,69.0,347.0,16,81,72,116,85,16,58,64.0,15
245,154.0,248,67,21,253,179.0,18,146.0,17.0,394,43.0,44.0,16.0,28,10,89,560.0,107.0,33,42.0,33.0,72,118.0,84.0,299.0,15,86,74,142,81,30,49,65.0,21
246,234.0,88,88,25,183,152.0,9,212.0,26.0,279,33.0,17.0,10.0,29,23,41,460.0,52.0,18,56.0,36.0,108,108.0,65.0,253.0,32,77,53,180,79,18,48,50.0,20
247,135.0,73,75,15,244,370.0,19,322.0,23.0,219,32.0,22.0,17.0,25,23,53,492.0,45.0,14,40.0,33.0,103,97.0,79.0,213.0,28,73,25,264,77,81,40,35.0,28
248,94.0,92,62,24,233,349.0,8,222.0,18.0,166,57.0,28.0,14.0,48,17,99,357.0,45.0,10,38.0,56.0,73,108.0,65.0,275.0,21,134,88,355,59,36,49,46.0,23
249,129.0,111,64,24,285,301.0,12,169.0,15.0,138,33.0,23.0,11.0,24,8,104,251.0,32.0,12,36.0,52.0,97,166.0,40.0,272.0,24,114,98,111,45,34,48,44.0,16
250,194.0,107,62,6,180,162.0,8,221.0,53.0,136,43.0,26.0,16.0,23,12,137,274.0,28.0,12,28.0,86.0,71,96.0,81.0,270.0,13,84,62,115,54,20,35,61.0,11
251,166.0,104,72,14,148,150.0,21,116.0,26.0,143,53.0,15.0,12.0,19,12,97,432.0,38.0,24,30.0,56.0,72,99.0,83.0,226.0,19,83,90,58,63,25,45,58.0,13
252,183.0,73,59,23,169,123.0,9,169.0,17.0,72,34.0,78.0,17.0,21,13,95,459.0,173.0,29,30.0,41.0,84,105.0,68.0,264.0,14,68,75,79,100,23,41,48.0,19
253,182.0,63,63,16,122,180.0,16,188.0,14.0,116,37.0,64.0,15.0,32,17,68,422.0,69.0,16,48.0,66.0,86,114.0,59.0,221.0,20,64,65,94,134,32,32,61.0,24
